OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
1,San Bernardino,Adelanto,122818.299737437,202527216.192637
2,Los Angeles,Agoura Hills,29626.9409210767,29643180.2168469
3,Alameda,Alameda,52137.8898345859,43583057.3347209
4,Alameda,Albany,16774.0081082959,7558116.73565598
5,Los Angeles,Alhambra,25461.4877212837,28883376.5170588
6,Orange,Aliso Viejo,33775.36965739,25901253.4764377
7,Modoc,Alturas,23764.8129749837,13359025.0733427
8,Amador,Amador City,4628.80737247778,1307710.0798024
9,Napa,American Canyon,34793.6430158349,25657659.7419051
10,Orange,Anaheim,147785.097615223,191250823.972966
11,Shasta,Anderson,47510.5476736903,32458888.5122888
12,Calaveras,Angels,30295.3820915045,14886738.4806174
13,Contra Costa,Antioch,74914.6190281131,124941446.272956
14,San Bernardino,Apple Valley,105049.4967767,294405037.550171
15,Los Angeles,Arcadia,48662.3989268694,42082448.5027316
16,Humboldt,Arcata,75159.8528393294,51385121.9647162
17,San Luis Obispo,Arroyo Grande,31484.2374823271,23011217.5343563
18,Los Angeles,Artesia,15055.4588776113,6128531.56704868
19,Kern,Arvin,26421.7599110538,18685857.7240195
20,San Luis Obispo,Atascadero,57267.5377456556,102461859.552542
21,San Mateo,Atherton,30997.3730535041,20737664.8177786
22,Merced,Atwater,45442.5730130092,27568274.0758046
23,Placer,Auburn,59836.9234373423,30627246.0009844
24,Los Angeles,Avalon,20901.4058933756,10948557.7585469
25,Kings,Avenal,55421.4831607357,77458981.7145326
26,Los Angeles,Azusa,58591.2633259966,36615279.2728868
27,Kern,Bakersfield,529571.340981571,592532899.830098
28,Los Angeles,Baldwin Park,32301.7643382818,25658139.0047098
29,Riverside,Banning,98557.2972180554,87707281.2931848
30,San Bernardino,Barstow,124528.364178158,159114428.286012
31,Riverside,Beaumont,95506.8004090701,114352991.490681
32,Los Angeles,Bell,24187.7988238013,9896026.31977367
33,Los Angeles,Bell Gardens,14226.2159430135,9285293.58990093
34,Los Angeles,Bellflower,21825.9095908551,23316766.0326304
35,San Mateo,Belmont,28173.7781021889,19123418.3483687
36,Marin,Belvedere,8307.52542797478,2645759.89077225
37,Solano,Benicia,44254.5219956478,54541414.0902696
38,Alameda,Berkeley,41459.8358252208,44043848.5122027
39,Los Angeles,Beverly Hills,31778.1467954651,21616862.8104127
40,San Bernardino,Big Bear Lake,56830.6218117954,24456282.321707
41,Butte,Biggs,16135.5475687751,3846221.80699031
42,Inyo,Bishop,20427.2818740171,7733927.84942252
43,Humboldt,Blue Lake,12023.8202455926,2934186.01024544
44,Riverside,Blythe,121185.791512666,102128780.164679
45,Los Angeles,Bradbury,14387.3509449847,7454190.29314122
46,Imperial,Brawley,38180.6915585087,29855025.1005802
47,Orange,Brea,60278.4779202735,47967118.7719616
48,Contra Costa,Brentwood,55421.5445564584,62015016.6127945
49,San Mateo,Brisbane,22435.3660251473,13141844.1684458
50,Santa Barbara,Buellton,14624.7618000318,6141802.36026898
51,Orange,Buena Park,48303.8374184982,39656061.378677
52,Los Angeles,Burbank,37732.6946253986,65680185.0967789
53,San Mateo,Burlingame,33027.568720909,18469807.4570157
54,Los Angeles,Calabasas,55027.0138540102,52298282.0133318
55,Imperial,Calexico,29186.7504064064,31087613.8997936
56,Kern,California,218543.463339714,789537581.609236
57,Riverside,Calimesa,49018.0566738466,56203575.4537515
58,Imperial,Calipatria,26908.293217937,13738251.4273134
59,Napa,Calistoga,18961.5008679439,10908956.6210954
60,Ventura,Camarillo,81527.1292157229,75049422.5420906
61,Santa Clara,Campbell,42631.9458557832,24998433.2074074
62,Riverside,Canyon Lake,23490.579961165,17337155.7478357
63,Santa Cruz,Capitola,17092.7806142045,6563801.59765369
64,San Diego,Carlsbad,64938.8535334869,144618401.80549
65,Monterey,Carmel-by-the-Sea,11103.4565112886,4207291.5769385
66,Santa Barbara,Carpinteria,25481.3893436891,9769194.62251886
67,Los Angeles,Carson,46865.9006991578,71264282.0858213
68,Riverside,Cathedral City,72484.3268674973,85685092.9377505
69,Stanislaus,Ceres,50115.3080437325,39070071.5223489
70,Los Angeles,Cerritos,44159.881189973,33280831.0228933
71,Butte,Chico,131651.041554673,150957724.093779
72,San Bernardino,Chino,76113.5270318804,112329838.892828
73,San Bernardino,Chino Hills,64200.6796619089,169201221.538695
74,Madera,Chowchilla,54494.8756493191,47512774.1404723
75,San Diego,Chula Vista,117806.855203595,190896872.449446
76,Sacramento,Citrus Heights,37762.3362006203,60529427.33099
77,Los Angeles,Claremont,55362.5331941455,51009423.4831253
78,Contra Costa,Clayton,22349.1622433843,15979272.808641
79,Lake,Clearlake,59497.0087341306,45141923.8258017
80,Sonoma,Cloverdale,34418.2837712661,14080162.3572707
81,Fresno,Clovis,97663.590644861,105253885.032912
82,Riverside,Coachella,74723.4724961517,116022122.273895
83,Fresno,Coalinga,59004.0789891016,26811703.5478774
84,Placer,Colfax,26705.3214966496,6075099.92155644
85,San Mateo,Colma,14677.5565636409,7919732.00029705
86,San Bernardino,Colton,87245.8804202481,61239993.8737343
87,Colusa,Colusa,50573.3433141561,18452204.7172163
88,Los Angeles,Commerce,34419.7083613074,24772005.2800111
89,Los Angeles,Compton,65518.6690071158,38044748.6271218
90,Contra Costa,Concord,73126.2628300681,127547312.80808
91,Kings,Corcoran,53934.7719126796,29858425.4031653
92,Tehama,Corning,43990.3022508086,16019825.5933515
93,Riverside,Corona,132639.415574946,150160692.517411
94,San Diego,Coronado,51643.9720818915,54368999.4632565
95,Marin,Corte Madera,23965.1092416912,13350101.0483845
96,Orange,Costa Mesa,42864.6393946845,59407007.0918882
97,Sonoma,Cotati,22654.0211951365,8054478.46203464
98,Los Angeles,Covina,68641.7553657182,26633974.4640584
99,Del Norte,Crescent City,27369.6557270134,9047176.81462182
100,Los Angeles,Cudahy,12556.3548783388,4619389.10264014
101,Los Angeles,Culver City,43000.4913870563,19392272.6348817
102,Santa Clara,Cupertino,61781.3145578038,46482456.5751659
103,Orange,Cypress,30858.901680226,24931635.8019405
104,San Mateo,Daly City,58686.9223390108,31481707.6374009
