,id_image,Price,Beds,Baths,Square Feet,Street,City,COUNTY,average_listing_price
180,1865 Fort Wayne St,99000.0,1,1,572.0,1865 Fort Wayne St,OROVILLE,BUTTE,525.937
183,11151 Breezy Blvd,17500.0,3,2,1689.0,11151 Breezy Blvd,CLIPPER MILLS,BUTTE,525.937
182,15275 Coutolenc Rd,385000.0,3,3,1792.0,15275 Coutolenc Rd,CLIPPER MILLS,BUTTE,525.937
181,5712 Pearl Dr,25000.0,3,2,1689.0,5712 Pearl Dr,PARADISE,BUTTE,525.937
188,1833 Eagle Peak Ave,1090000.0,4,3,2313.0,1833 Eagle Peak Ave,CLAYTON,CONTRA COSTA,1.084.142
186,1668 Liana Ln,915000.0,3,2,1899.0,1668 Liana Ln,CONCORD,CONTRA COSTA,1.084.142
187,1908 Springridge Ct,1130000.0,5,3,2662.0,1908 Springridge Ct,CONCORD,CONTRA COSTA,1.084.142
184,5844 Yawl St,450000.0,2,2,1354.0,5844 Yawl St,DISCOVERY BAY,CONTRA COSTA,1.084.142
192,8 Orchard Ln,1780000.0,4,3,2460.0,8 Orchard Ln,DISCOVERY BAY,CONTRA COSTA,1.084.142
191,2809 Ptarmigan Dr APT 1,850000.0,2,2,1423.0,2809 Ptarmigan Dr APT 1,WALNUT CREEK,CONTRA COSTA,1.084.142
189,3375 Diablo Shadow Dr,1620000.0,3,2,1927.0,3375 Diablo Shadow Dr,WALNUT CREEK,CONTRA COSTA,1.084.142
185,3041 Peppermill Cir,440000.0,2,3,1092.0,3041 Peppermill Cir,PITTSBURG,CONTRA COSTA,1.084.142
190,1908 Strayhorn Rd,827000.0,3,3,1598.0,1908 Strayhorn Rd,PLEASANT HILL,CONTRA COSTA,1.084.142
195,560 Key Blvd,875000.0,3,2,1296.0,560 Key Blvd,RICHMOND,CONTRA COSTA,1.084.142
197,3000 Twin Oaks Rd,580000.0,4,2,1606.0,3000 Twin Oaks Rd,GRIZZLY FLATS,EL DORADO,1.386.064
196,4945 Creekside Dr,41500.0,3,2,1689.0,4945 Creekside Dr,GRIZZLY FLATS,EL DORADO,1.386.064
198,41776 Merriman Ln,230000.0,3,2,1134.0,41776 Merriman Ln,FRESNO,FRESNO,591.693
