,id_image,Price,Beds,Baths,Square Feet,Street,City,Toilets,COUNTY,median_listing_price
59,100 Fairvale Ct,530000.0,3,2,2041.0,100 Fairvale Ct,TURLOCK,0,TURLOCK,5.183.333.333.333.330
36,100 Independence Ave,555000.0,3,3,1532.0,100 Independence Ave,VACAVILLE,0,VACAVILLE,542000.0
43,1006 Rutledge Ave,581000.0,2,2,980.0,1006 Rutledge Ave,SANTA ROSA,0,SANTA ROSA,386210.0
244,10207 Camarillo St,1280000.0,2,2,1448.0,10207 Camarillo St,LOS ANGELES,0,LOS ANGELES,1003125.0
209,10318 Dalewood Way,245000.0,2,2,1780.0,10318 Dalewood Way,GRASS VALLEY,0,GRASS VALLEY,395500.0
52,1061 Wildwood Rd,580000.0,4,2,1447.0,1061 Wildwood Rd,SANTA MARIA,0,SANTA MARIA,540000.0
82,10791 Citrus Dr,400000.0,2,3,1762.0,10791 Citrus Dr,MOORPARK,0,MOORPARK,825000.0
251,10847 Sunnybrae Ave,1140000.0,5,3,2635.0,10847 Sunnybrae Ave,LOS ANGELES,0,LOS ANGELES,1003125.0
205,10872 Star Pine Rd,835000.0,3,2,1618.0,10872 Star Pine Rd,TRUCKEE,0,TRUCKEE,1087500.0
62,109 Wilson Ave,320000.0,3,2,1150.0,109 Wilson Ave,MODESTO,0,MODESTO,415000.0
200,110 Twins Ct,310000.0,3,2,1537.0,110 Twins Ct,REEDLEY,0,REEDLEY,310000.0
58,1111 Yosemite St,505000.0,2,2,1761.0,1111 Yosemite St,TURLOCK,0,TURLOCK,5.183.333.333.333.330
183,11151 Breezy Blvd,17500.0,3,2,1689.0,11151 Breezy Blvd,BUTTE,0,CLIPPER MILLS,201250.0
37,1131 Araquipa Ct,535000.0,3,2,1265.0,1131 Araquipa Ct,VACAVILLE,0,VACAVILLE,542000.0
81,1136 Belleza St,799000.0,2,2,1511.0,1136 Belleza St,CAMARILLO,0,CAMARILLO,1128000.0
1,114 10th Ave,1850000.0,3,2,2181.0,114 10th Ave,SAN FRANCISCO,0,SAN FRANCISCO,1198700.0
276,1143 W 24th St,998000.0,3,1,1204.0,1143 W 24th St,LOS ANGELES,0,LOS ANGELES,1003125.0
194,1152 Richmond St,770000.0,4,3,1464.0,1152 Richmond St,EL CERRITO,0,EL CERRITO,1110000.0
22,116 Madrone Ave,1430000.0,5,3,2810.0,116 Madrone Ave,SOUTH SAN FRANCISCO,0,SOUTH SAN FRANCISCO,1400000.0
272,1172 Lachman Ln,4950000.0,4,4,3203.0,1172 Lachman Ln,LOS ANGELES,0,LOS ANGELES,1003125.0
98,1177 Countrywood Ln,1580000.0,4,3,2833.0,1177 Countrywood Ln,VISTA,0,VISTA,1580000.0
106,12433 Kingspine Ave,2530000.0,5,3,3532.0,12433 Kingspine Ave,SAN DIEGO,0,SAN DIEGO,977000.0
